,國家,日期,總確診數,新增確診數,新增死亡數
164329,台灣,2020-12-24,776,0,0
164346,台灣,2021-01-10,828,0,0
164350,台灣,2021-01-14,842,0,0
164358,台灣,2021-01-22,881,0,0
164361,台灣,2021-01-25,889,0,0
164380,台灣,2021-02-13,937,0,0
164381,台灣,2021-02-14,937,0,0
164382,台灣,2021-02-15,937,0,0
164383,台灣,2021-02-16,937,0,0
164388,台灣,2021-02-21,942,0,0
164389,台灣,2021-02-22,942,0,0
164390,台灣,2021-02-23,942,0,0
164393,台灣,2021-02-26,951,0,0
164396,台灣,2021-03-01,955,0,0
164397,台灣,2021-03-02,955,0,0
164400,台灣,2021-03-05,960,0,0
164406,台灣,2021-03-11,978,0,0
164408,台灣,2021-03-13,984,0,0
164411,台灣,2021-03-16,990,0,0
164412,台灣,2021-03-17,990,0,0
164417,台灣,2021-03-22,1006,0,0
164433,台灣,2021-04-07,1050,0,0
164434,台灣,2021-04-08,1050,0,0
164627,台灣,2021-10-18,16337,0,0
164823,台灣,2022-05-02,132955,0,0
164828,台灣,2022-05-07,268569,0,0
164829,台灣,2022-05-08,268569,0,0
164834,台灣,2022-05-13,570870,0,0
